,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma
4006,3,2.6,46,261029,2644285,1.13,2383256,8464,0.2,28.2,25.9,69.7,2.9
4007,2,2.6,47,261031,2644285,1.13,2383254,8464,0.1,28.2,25.8,70.4,3.1
4008,3,2.6,49,261034,2644285,1.06,2383251,8464,1.1,28.0,25.7,71.4,3.1
4009,2,2.4,50,261036,2644285,0.94,2383249,8464,1.1,27.9,25.7,72.8,2.9
4010,2,2.3,50,261038,2644749,0.89,2383711,8466,1.3,27.7,25.3,73.6,2.8
4011,2,2.3,50,261040,2644749,0.94,2383709,8466,1.5,27.7,25.3,74.2,2.8
4012,2,2.3,50,261042,2644749,0.94,2383707,8466,1.6,27.6,25.2,74.9,2.7
4013,2,2.1,49,261044,2644749,0.83,2383705,8466,1.9,27.6,25.3,75.3,2.8
4014,1,2.0,48,261045,2644749,0.78,2383704,8466,2.0,27.6,25.3,75.6,2.6
4015,1,1.7,47,261046,2644749,0.67,2383703,8466,1.1,27.8,25.6,75.1,2.5
4016,1,1.6,46,261047,2644749,0.65,2383702,8466,1.1,28.0,25.7,74.4,2.7
4017,1,1.4,44,261048,2644749,0.63,2383701,8466,0.9,28.1,25.9,74.1,2.9
4018,3,1.6,44,261051,2645213,0.69,2384162,8467,0.8,28.3,26.0,73.3,2.9
4019,4,1.9,46,261055,2645213,0.81,2384158,8467,0.7,28.4,26.1,72.7,3.0
4020,4,2.1,48,261059,2645213,1.0,2384154,8467,0.2,28.4,26.0,72.0,2.9
4021,4,2.6,50,261063,2645213,1.29,2384150,8467,0.1,28.5,25.8,71.4,3.0
4022,4,3.0,51,261067,2645213,1.75,2384146,8467,0.0,28.5,25.7,71.0,3.0
4027,2,3.1,52,261081,2645677,1.47,2384596,8469,1.8,27.7,24.8,73.7,2.5
4028,2,2.9,52,261083,2645677,1.11,2384594,8469,3.9,27.4,24.3,74.0,2.5
4029,3,2.7,52,261086,2645677,0.9,2384591,8469,3.9,27.3,24.1,74.1,2.5
4030,4,2.7,54,261090,2645677,0.79,2384587,8469,4.4,27.2,24.0,74.3,2.6
4031,3,2.7,55,261093,2645677,0.73,2384584,8469,4.6,27.2,23.8,75.4,2.6
4032,4,2.9,57,261097,2646141,0.77,2385044,8470,4.6,27.2,23.7,75.0,2.6
4033,4,3.1,59,261101,2646141,0.92,2385040,8470,3.6,27.5,24.1,73.4,2.8
4034,4,3.4,61,261105,2646141,1.09,2385036,8470,3.3,27.8,24.1,71.0,3.1
4035,5,3.9,65,261110,2646141,1.35,2385031,8470,4.6,27.9,24.3,71.7,3.1
4036,4,4.0,68,261114,2646141,1.47,2385027,8470,7.6,27.9,24.3,72.7,3.0
4037,4,4.0,71,261118,2646141,1.47,2385023,8470,9.4,27.8,24.2,73.2,2.8
4038,4,4.1,74,261122,2646141,1.53,2385019,8470,9.5,27.8,24.1,73.2,2.8
4039,3,4.0,74,261125,2646605,1.4,2385480,8472,9.6,27.7,24.2,74.0,2.7
